id,Level 1,Level 2,Level 3,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2019,valid_from,valid_to
1,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,CNG kWh (Gross CV),0.18385,2019-01-01 00:00:00,2019-12-31 23:59:59
2,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,CNG kWh (Gross CV),0.00024,2019-01-01 00:00:00,2019-12-31 23:59:59
3,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,CNG kWh (Gross CV),0.18351,2019-01-01 00:00:00,2019-12-31 23:59:59
4,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,CNG kWh (Gross CV),0.0001,2019-01-01 00:00:00,2019-12-31 23:59:59
5,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,CNG kWh (Net CV),0.20428,2019-01-01 00:00:00,2019-12-31 23:59:59
6,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg CH4,CNG kWh (Net CV),0.00027,2019-01-01 00:00:00,2019-12-31 23:59:59
7,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2,CNG kWh (Net CV),0.2039,2019-01-01 00:00:00,2019-12-31 23:59:59
8,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg N2O,CNG kWh (Net CV),0.00011,2019-01-01 00:00:00,2019-12-31 23:59:59
9,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg CO2e,CNG litres,0.44486,2019-01-01 00:00:00,2019-12-31 23:59:59
10,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg CH4,CNG litres,0.00058,2019-01-01 00:00:00,2019-12-31 23:59:59
11,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg CO2,CNG litres,0.44404,2019-01-01 00:00:00,2019-12-31 23:59:59
12,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg N2O,CNG litres,0.00023,2019-01-01 00:00:00,2019-12-31 23:59:59
13,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg CO2e,CNG tonnes,2542.04,2019-01-01 00:00:00,2019-12-31 23:59:59
14,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg CH4,CNG tonnes,3.34,2019-01-01 00:00:00,2019-12-31 23:59:59
15,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg CO2,CNG tonnes,2537.36,2019-01-01 00:00:00,2019-12-31 23:59:59
16,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg N2O,CNG tonnes,1.34,2019-01-01 00:00:00,2019-12-31 23:59:59
17,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LNG kWh (Gross CV),0.18443,2019-01-01 00:00:00,2019-12-31 23:59:59
18,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,LNG kWh (Gross CV),0.00024,2019-01-01 00:00:00,2019-12-31 23:59:59
19,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,LNG kWh (Gross CV),0.18409,2019-01-01 00:00:00,2019-12-31 23:59:59
20,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,LNG kWh (Gross CV),0.0001,2019-01-01 00:00:00,2019-12-31 23:59:59
21,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LNG kWh (Net CV),0.20492,2019-01-01 00:00:00,2019-12-31 23:59:59
22,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh,kWh (Net CV),kg CH4,LNG kWh (Net CV),0.00027,2019-01-01 00:00:00,2019-12-31 23:59:59
23,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2,LNG kWh (Net CV),0.20455,2019-01-01 00:00:00,2019-12-31 23:59:59
24,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh,kWh (Net CV),kg N2O,LNG kWh (Net CV),0.00011,2019-01-01 00:00:00,2019-12-31 23:59:59
25,Fuels,Gaseous fuels,LNG,Volume,litres,litres,kg CO2e,LNG litres,1.15387,2019-01-01 00:00:00,2019-12-31 23:59:59
26,Fuels,Gaseous fuels,LNG,Volume,litres,litres,kg CH4,LNG litres,0.00151,2019-01-01 00:00:00,2019-12-31 23:59:59
27,Fuels,Gaseous fuels,LNG,Volume,litres,litres,kg CO2,LNG litres,1.15175,2019-01-01 00:00:00,2019-12-31 23:59:59
28,Fuels,Gaseous fuels,LNG,Volume,litres,litres,kg N2O,LNG litres,0.0006,2019-01-01 00:00:00,2019-12-31 23:59:59
29,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,tonnes,kg CO2e,LNG tonnes,2550.04,2019-01-01 00:00:00,2019-12-31 23:59:59
30,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,tonnes,kg CH4,LNG tonnes,3.34,2019-01-01 00:00:00,2019-12-31 23:59:59
31,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,tonnes,kg CO2,LNG tonnes,2545.37,2019-01-01 00:00:00,2019-12-31 23:59:59
32,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,tonnes,kg N2O,LNG tonnes,1.34,2019-01-01 00:00:00,2019-12-31 23:59:59
33,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LPG kWh (Gross CV),0.21447,2019-01-01 00:00:00,2019-12-31 23:59:59
34,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,LPG kWh (Gross CV),0.00014,2019-01-01 00:00:00,2019-12-31 23:59:59
35,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,LPG kWh (Gross CV),0.21419,2019-01-01 00:00:00,2019-12-31 23:59:59
36,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,LPG kWh (Gross CV),0.00014,2019-01-01 00:00:00,2019-12-31 23:59:59
37,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LPG kWh (Net CV),0.23029,2019-01-01 00:00:00,2019-12-31 23:59:59
38,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh,kWh (Net CV),kg CH4,LPG kWh (Net CV),0.00015,2019-01-01 00:00:00,2019-12-31 23:59:59
39,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh,kWh (Net CV),kg CO2,LPG kWh (Net CV),0.22999,2019-01-01 00:00:00,2019-12-31 23:59:59
40,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh,kWh (Net CV),kg N2O,LPG kWh (Net CV),0.00015,2019-01-01 00:00:00,2019-12-31 23:59:59
41,Fuels,Gaseous fuels,LPG,Volume,litres,litres,kg CO2e,LPG litres,1.5226,2019-01-01 00:00:00,2019-12-31 23:59:59
42,Fuels,Gaseous fuels,LPG,Volume,litres,litres,kg CH4,LPG litres,0.00101,2019-01-01 00:00:00,2019-12-31 23:59:59
43,Fuels,Gaseous fuels,LPG,Volume,litres,litres,kg CO2,LPG litres,1.5206,2019-01-01 00:00:00,2019-12-31 23:59:59
44,Fuels,Gaseous fuels,LPG,Volume,litres,litres,kg N2O,LPG litres,0.00099,2019-01-01 00:00:00,2019-12-31 23:59:59
45,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,tonnes,kg CO2e,LPG tonnes,2936.86,2019-01-01 00:00:00,2019-12-31 23:59:59
46,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,tonnes,kg CH4,LPG tonnes,1.94,2019-01-01 00:00:00,2019-12-31 23:59:59
47,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,tonnes,kg CO2,LPG tonnes,2933.01,2019-01-01 00:00:00,2019-12-31 23:59:59
48,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,tonnes,kg N2O,LPG tonnes,1.91,2019-01-01 00:00:00,2019-12-31 23:59:59
49,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Natural gas kWh (Gross CV),0.18385,2019-01-01 00:00:00,2019-12-31 23:59:59
50,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Natural gas kWh (Gross CV),0.00024,2019-01-01 00:00:00,2019-12-31 23:59:59
51,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Natural gas kWh (Gross CV),0.18351,2019-01-01 00:00:00,2019-12-31 23:59:59
52,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Natural gas kWh (Gross CV),0.0001,2019-01-01 00:00:00,2019-12-31 23:59:59
53,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Natural gas kWh (Net CV),0.20428,2019-01-01 00:00:00,2019-12-31 23:59:59
54,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Natural gas kWh (Net CV),0.00027,2019-01-01 00:00:00,2019-12-31 23:59:59
55,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Natural gas kWh (Net CV),0.2039,2019-01-01 00:00:00,2019-12-31 23:59:59
56,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Natural gas kWh (Net CV),0.00011,2019-01-01 00:00:00,2019-12-31 23:59:59
57,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,cubic metres,kg CO2e,Natural gas cubic metres,2.03053,2019-01-01 00:00:00,2019-12-31 23:59:59
58,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,cubic metres,kg CH4,Natural gas cubic metres,0.00267,2019-01-01 00:00:00,2019-12-31 23:59:59
59,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,cubic metres,kg CO2,Natural gas cubic metres,2.0268,2019-01-01 00:00:00,2019-12-31 23:59:59
60,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,cubic metres,kg N2O,Natural gas cubic metres,0.00107,2019-01-01 00:00:00,2019-12-31 23:59:59
61,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,tonnes,kg CO2e,Natural gas tonnes,2542.04,2019-01-01 00:00:00,2019-12-31 23:59:59
62,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,tonnes,kg CH4,Natural gas tonnes,3.34,2019-01-01 00:00:00,2019-12-31 23:59:59
63,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,tonnes,kg CO2,Natural gas tonnes,2537.36,2019-01-01 00:00:00,2019-12-31 23:59:59
64,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,tonnes,kg N2O,Natural gas tonnes,1.34,2019-01-01 00:00:00,2019-12-31 23:59:59
65,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Other petroleum gas kWh (Gross CV),0.18551,2019-01-01 00:00:00,2019-12-31 23:59:59
