id,Level 1,Level 2,Fuel Type,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2020,valid_from,valid_to
2020_1,Fuels,Solid,Coal,short ton,short ton,mmbtu,Anthracite Coal,25.09,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_2,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Anthracite Coal,103.69,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_3,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Anthracite Coal,11,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_4,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Anthracite Coal,1.6,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_5,Fuels,Solid,Coal,short ton,short ton,kg CO2,Anthracite Coal,2602,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_6,Fuels,Solid,Coal,short ton,short ton,g CH4,Anthracite Coal,276,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_7,Fuels,Solid,Coal,short ton,short ton,g N2O,Anthracite Coal,40,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_8,Fuels,Solid,Coal,short ton,short ton,mmbtu,Bituminous Coal,24.93,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_9,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Bituminous Coal,93.28,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_10,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Bituminous Coal,11,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_11,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Bituminous Coal,1.6,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_12,Fuels,Solid,Coal,short ton,short ton,kg CO2,Bituminous Coal,2325,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_13,Fuels,Solid,Coal,short ton,short ton,g CH4,Bituminous Coal,274,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_14,Fuels,Solid,Coal,short ton,short ton,g N2O,Bituminous Coal,40,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_15,Fuels,Solid,Coal,short ton,short ton,mmbtu,Sub-bituminous Coal,17.25,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_16,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Sub-bituminous Coal,97.17,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_17,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Sub-bituminous Coal,11,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_18,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Sub-bituminous Coal,1.6,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_19,Fuels,Solid,Coal,short ton,short ton,kg CO2,Sub-bituminous Coal,1676,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_20,Fuels,Solid,Coal,short ton,short ton,g CH4,Sub-bituminous Coal,190,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_21,Fuels,Solid,Coal,short ton,short ton,g N2O,Sub-bituminous Coal,28,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_22,Fuels,Solid,Coal,short ton,short ton,mmbtu,Lignite Coal,14.21,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_23,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Lignite Coal,97.72,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_24,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Lignite Coal,11,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_25,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Lignite Coal,1.6,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_26,Fuels,Solid,Coal,short ton,short ton,kg CO2,Lignite Coal,1389,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_27,Fuels,Solid,Coal,short ton,short ton,g CH4,Lignite Coal,156,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_28,Fuels,Solid,Coal,short ton,short ton,g N2O,Lignite Coal,23,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_29,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Commercial Sector),21.39,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_30,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Commercial Sector),94.27,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_31,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Commercial Sector),11,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_32,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Commercial Sector),1.6,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_33,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Commercial Sector),2016,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_34,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Commercial Sector),235,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_35,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Commercial Sector),34,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_36,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Electric Power Sector),19.73,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_37,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Electric Power Sector),95.52,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_38,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Electric Power Sector),11,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_39,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Electric Power Sector),1.6,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_40,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Electric Power Sector),1885,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_41,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Electric Power Sector),217,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_42,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Electric Power Sector),32,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_43,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Industrial Coking),26.28,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_44,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Industrial Coking),93.9,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_45,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Industrial Coking),11,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_46,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Industrial Coking),1.6,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_47,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Industrial Coking),2468,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_48,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Industrial Coking),289,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_49,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Industrial Coking),42,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_50,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Industrial Sector),22.35,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_51,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Industrial Sector),94.67,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_52,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Industrial Sector),11,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_53,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Industrial Sector),1.6,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_54,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Industrial Sector),2116,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_55,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Industrial Sector),246,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_56,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Industrial Sector),36,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_57,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Coal Coke,24.8,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_58,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Coal Coke,113.67,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_59,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Coal Coke,11,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_60,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Coal Coke,1.6,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_61,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Coal Coke,2819,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_62,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Coal Coke,273,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_63,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Coal Coke,40,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_64,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,mmbtu,Municipal Solid Waste,9.95,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_65,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,kg CO2,Municipal Solid Waste,90.7,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_66,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,g CH4,Municipal Solid Waste,32,2020-01-01 00:00:00,2020-12-31 23:59:59
2020_67,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,g N2O,Municipal Solid Waste,4.2,2020-01-01 00:00:00,2020-12-31 23:59:59
