id,Level 1,Level 2,Level 3,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2018,valid_from,valid_to
1,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,CNG kWh (Gross CV),0.18396,2018-01-01 00:00:00,2018-12-31 23:59:59
2,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,CNG kWh (Gross CV),0.00024,2018-01-01 00:00:00,2018-12-31 23:59:59
3,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,CNG kWh (Gross CV),0.18362,2018-01-01 00:00:00,2018-12-31 23:59:59
4,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,CNG kWh (Gross CV),0.0001,2018-01-01 00:00:00,2018-12-31 23:59:59
5,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,CNG kWh (Net CV),0.20437,2018-01-01 00:00:00,2018-12-31 23:59:59
6,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg CH4,CNG kWh (Net CV),0.00027,2018-01-01 00:00:00,2018-12-31 23:59:59
7,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2,CNG kWh (Net CV),0.20399,2018-01-01 00:00:00,2018-12-31 23:59:59
8,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg N2O,CNG kWh (Net CV),0.00011,2018-01-01 00:00:00,2018-12-31 23:59:59
9,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg CO2e,CNG litres,0.48066,2018-01-01 00:00:00,2018-12-31 23:59:59
10,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg CH4,CNG litres,0.00063,2018-01-01 00:00:00,2018-12-31 23:59:59
11,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg CO2,CNG litres,0.47977,2018-01-01 00:00:00,2018-12-31 23:59:59
12,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg N2O,CNG litres,0.00025,2018-01-01 00:00:00,2018-12-31 23:59:59
13,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg CO2e,CNG tonnes,2746.63,2018-01-01 00:00:00,2018-12-31 23:59:59
14,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg CH4,CNG tonnes,3.63,2018-01-01 00:00:00,2018-12-31 23:59:59
15,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg CO2,CNG tonnes,2741.56,2018-01-01 00:00:00,2018-12-31 23:59:59
16,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg N2O,CNG tonnes,1.44,2018-01-01 00:00:00,2018-12-31 23:59:59
17,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LNG kWh (Gross CV),0.18396,2018-01-01 00:00:00,2018-12-31 23:59:59
18,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,LNG kWh (Gross CV),0.00024,2018-01-01 00:00:00,2018-12-31 23:59:59
19,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,LNG kWh (Gross CV),0.18362,2018-01-01 00:00:00,2018-12-31 23:59:59
