id,Level 1,Level 2,Level 3,Column Text,UOM,GHG,GHG Conversion Factor 2017,valid_from,valid_to
39,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh (Net CV),kg CO2,0.22999,2017-01-01 00:00:00,2017-12-31 23:59:59
40,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh (Net CV),kg N2O,0.00018,2017-01-01 00:00:00,2017-12-31 23:59:59
41,Fuels,Gaseous fuels,LPG,Volume,litres,kg CO2e,1.50807,2017-01-01 00:00:00,2017-12-31 23:59:59
42,Fuels,Gaseous fuels,LPG,Volume,litres,kg CH4,0.00109,2017-01-01 00:00:00,2017-12-31 23:59:59
43,Fuels,Gaseous fuels,LPG,Volume,litres,kg CO2,1.50583,2017-01-01 00:00:00,2017-12-31 23:59:59
44,Fuels,Gaseous fuels,LPG,Volume,litres,kg N2O,0.00115,2017-01-01 00:00:00,2017-12-31 23:59:59
45,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,kg CO2e,2940.43753,2017-01-01 00:00:00,2017-12-31 23:59:59
46,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,kg CH4,2.12188,2017-01-01 00:00:00,2017-12-31 23:59:59
47,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,kg CO2,2936.07535,2017-01-01 00:00:00,2017-12-31 23:59:59
48,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,kg N2O,2.2403,2017-01-01 00:00:00,2017-12-31 23:59:59
49,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18416,2017-01-01 00:00:00,2017-12-31 23:59:59
50,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00026,2017-01-01 00:00:00,2017-12-31 23:59:59
51,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18381,2017-01-01 00:00:00,2017-12-31 23:59:59
52,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001,2017-01-01 00:00:00,2017-12-31 23:59:59
53,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh (Net CV),kg CO2e,0.20463,2017-01-01 00:00:00,2017-12-31 23:59:59
54,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh (Net CV),kg CH4,0.00029,2017-01-01 00:00:00,2017-12-31 23:59:59
55,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh (Net CV),kg CO2,0.20423,2017-01-01 00:00:00,2017-12-31 23:59:59
56,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh (Net CV),kg N2O,0.00011,2017-01-01 00:00:00,2017-12-31 23:59:59
57,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,kg CO2e,2.09672,2017-01-01 00:00:00,2017-12-31 23:59:59
58,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,kg CH4,0.00295,2017-01-01 00:00:00,2017-12-31 23:59:59
59,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,kg CO2,2.09267,2017-01-01 00:00:00,2017-12-31 23:59:59
60,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,kg N2O,0.0011,2017-01-01 00:00:00,2017-12-31 23:59:59
61,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,kg CO2e,2814.00779,2017-01-01 00:00:00,2017-12-31 23:59:59
62,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,kg CH4,3.96296,2017-01-01 00:00:00,2017-12-31 23:59:59
63,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,kg CO2,2808.56953,2017-01-01 00:00:00,2017-12-31 23:59:59
64,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,kg N2O,1.47531,2017-01-01 00:00:00,2017-12-31 23:59:59
65,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18646,2017-01-01 00:00:00,2017-12-31 23:59:59
66,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00008,2017-01-01 00:00:00,2017-12-31 23:59:59
67,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18628,2017-01-01 00:00:00,2017-12-31 23:59:59
68,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001,2017-01-01 00:00:00,2017-12-31 23:59:59
69,Fuels,Gaseous fuels,Other petroleum gas,Energy - Net CV,kWh (Net CV),kg CO2e,0.20267,2017-01-01 00:00:00,2017-12-31 23:59:59
70,Fuels,Gaseous fuels,Other petroleum gas,Energy - Net CV,kWh (Net CV),kg CH4,0.00009,2017-01-01 00:00:00,2017-12-31 23:59:59
71,Fuels,Gaseous fuels,Other petroleum gas,Energy - Net CV,kWh (Net CV),kg CO2,0.20248,2017-01-01 00:00:00,2017-12-31 23:59:59
72,Fuels,Gaseous fuels,Other petroleum gas,Energy - Net CV,kWh (Net CV),kg N2O,0.0001,2017-01-01 00:00:00,2017-12-31 23:59:59
73,Fuels,Gaseous fuels,Other petroleum gas,Volume,litres,kg CO2e,0.96101,2017-01-01 00:00:00,2017-12-31 23:59:59
74,Fuels,Gaseous fuels,Other petroleum gas,Volume,litres,kg CH4,0.00042,2017-01-01 00:00:00,2017-12-31 23:59:59
75,Fuels,Gaseous fuels,Other petroleum gas,Volume,litres,kg CO2,0.96009,2017-01-01 00:00:00,2017-12-31 23:59:59
76,Fuels,Gaseous fuels,Other petroleum gas,Volume,litres,kg N2O,0.0005,2017-01-01 00:00:00,2017-12-31 23:59:59
77,Fuels,Gaseous fuels,Other petroleum gas,Tonnes,tonnes,kg CO2e,2623.54377,2017-01-01 00:00:00,2017-12-31 23:59:59
78,Fuels,Gaseous fuels,Other petroleum gas,Tonnes,tonnes,kg CH4,1.13973,2017-01-01 00:00:00,2017-12-31 23:59:59
79,Fuels,Gaseous fuels,Other petroleum gas,Tonnes,tonnes,kg CO2,2621.04549,2017-01-01 00:00:00,2017-12-31 23:59:59
80,Fuels,Gaseous fuels,Other petroleum gas,Tonnes,tonnes,kg N2O,1.35855,2017-01-01 00:00:00,2017-12-31 23:59:59
81,Fuels,Liquid fuels,Aviation spirit,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.24112,2017-01-01 00:00:00,2017-12-31 23:59:59
82,Fuels,Liquid fuels,Aviation spirit,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00133,2017-01-01 00:00:00,2017-12-31 23:59:59
83,Fuels,Liquid fuels,Aviation spirit,Energy - Gross CV,kWh (Gross CV),kg CO2,0.23752,2017-01-01 00:00:00,2017-12-31 23:59:59
84,Fuels,Liquid fuels,Aviation spirit,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00226,2017-01-01 00:00:00,2017-12-31 23:59:59
85,Fuels,Liquid fuels,Aviation spirit,Energy - Net CV,kWh (Net CV),kg CO2e,0.25381,2017-01-01 00:00:00,2017-12-31 23:59:59
86,Fuels,Liquid fuels,Aviation spirit,Energy - Net CV,kWh (Net CV),kg CH4,0.0014,2017-01-01 00:00:00,2017-12-31 23:59:59
87,Fuels,Liquid fuels,Aviation spirit,Energy - Net CV,kWh (Net CV),kg CO2,0.25002,2017-01-01 00:00:00,2017-12-31 23:59:59
88,Fuels,Liquid fuels,Aviation spirit,Energy - Net CV,kWh (Net CV),kg N2O,0.00238,2017-01-01 00:00:00,2017-12-31 23:59:59
