id,Level 1,Level 2,Fuel Type,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2018,valid_from,valid_to
2018_1,Fuels,Solid,Coal,short ton,short ton,mmbtu,Anthracite Coal,25.09,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_2,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Anthracite Coal,103.69,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_3,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Anthracite Coal,11,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_4,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Anthracite Coal,1.6,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_5,Fuels,Solid,Coal,short ton,short ton,kg CO2,Anthracite Coal,2602,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_6,Fuels,Solid,Coal,short ton,short ton,g CH4,Anthracite Coal,276,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_7,Fuels,Solid,Coal,short ton,short ton,g N2O,Anthracite Coal,40,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_8,Fuels,Solid,Coal,short ton,short ton,mmbtu,Bituminous Coal,24.93,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_9,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Bituminous Coal,93.28,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_10,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Bituminous Coal,11,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_11,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Bituminous Coal,1.6,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_12,Fuels,Solid,Coal,short ton,short ton,kg CO2,Bituminous Coal,2325,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_13,Fuels,Solid,Coal,short ton,short ton,g CH4,Bituminous Coal,274,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_14,Fuels,Solid,Coal,short ton,short ton,g N2O,Bituminous Coal,40,2018-01-01 00:00:00,2018-12-31 23:59:59
2018_15,Fuels,Solid,Coal,short ton,short ton,mmbtu,Sub-bituminous Coal,17.25,2018-01-01 00:00:00,2018-12-31 23:59:59
