id,Level 1,Level 2,Fuel Type,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2015,valid_from,valid_to
2015_1,Fuels,Solid,Coal,short ton,short ton,mmbtu,Anthracite Coal,25.09,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_2,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Anthracite Coal,103.69,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_3,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Anthracite Coal,11,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_4,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Anthracite Coal,1.6,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_5,Fuels,Solid,Coal,short ton,short ton,kg CO2,Anthracite Coal,2602,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_6,Fuels,Solid,Coal,short ton,short ton,g CH4,Anthracite Coal,276,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_7,Fuels,Solid,Coal,short ton,short ton,g N2O,Anthracite Coal,40,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_8,Fuels,Solid,Coal,short ton,short ton,mmbtu,Bituminous Coal,24.93,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_9,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Bituminous Coal,93.28,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_10,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Bituminous Coal,11,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_11,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Bituminous Coal,1.6,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_12,Fuels,Solid,Coal,short ton,short ton,kg CO2,Bituminous Coal,2325,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_13,Fuels,Solid,Coal,short ton,short ton,g CH4,Bituminous Coal,274,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_14,Fuels,Solid,Coal,short ton,short ton,g N2O,Bituminous Coal,40,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_15,Fuels,Solid,Coal,short ton,short ton,mmbtu,Sub-bituminous Coal,17.25,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_16,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Sub-bituminous Coal,97.17,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_17,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Sub-bituminous Coal,11,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_18,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Sub-bituminous Coal,1.6,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_19,Fuels,Solid,Coal,short ton,short ton,kg CO2,Sub-bituminous Coal,1676,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_20,Fuels,Solid,Coal,short ton,short ton,g CH4,Sub-bituminous Coal,190,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_21,Fuels,Solid,Coal,short ton,short ton,g N2O,Sub-bituminous Coal,28,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_22,Fuels,Solid,Coal,short ton,short ton,mmbtu,Lignite Coal,14.21,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_23,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Lignite Coal,97.72,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_24,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Lignite Coal,11,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_25,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Lignite Coal,1.6,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_26,Fuels,Solid,Coal,short ton,short ton,kg CO2,Lignite Coal,1389,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_27,Fuels,Solid,Coal,short ton,short ton,g CH4,Lignite Coal,156,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_28,Fuels,Solid,Coal,short ton,short ton,g N2O,Lignite Coal,23,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_29,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Commercial Sector),21.39,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_30,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Commercial Sector),94.27,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_31,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Commercial Sector),11,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_32,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Commercial Sector),1.6,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_33,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Commercial Sector),2016,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_34,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Commercial Sector),235,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_35,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Commercial Sector),34,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_36,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Electric Power Sector),19.73,2015-01-01 00:00:00,2015-12-31 23:59:59
2015_37,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Electric Power Sector),95.52,2015-01-01 00:00:00,2015-12-31 23:59:59
