id,Level 1,Level 2,Fuel Type,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2021,valid_from,valid_to
2021_1,Fuels,Solid,Coal,short ton,short ton,mmbtu,Anthracite Coal,25.09,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_2,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Anthracite Coal,103.69,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_3,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Anthracite Coal,11,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_4,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Anthracite Coal,1.6,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_5,Fuels,Solid,Coal,short ton,short ton,kg CO2,Anthracite Coal,2602,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_6,Fuels,Solid,Coal,short ton,short ton,g CH4,Anthracite Coal,276,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_7,Fuels,Solid,Coal,short ton,short ton,g N2O,Anthracite Coal,40,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_8,Fuels,Solid,Coal,short ton,short ton,mmbtu,Bituminous Coal,24.93,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_9,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Bituminous Coal,93.28,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_10,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Bituminous Coal,11,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_11,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Bituminous Coal,1.6,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_12,Fuels,Solid,Coal,short ton,short ton,kg CO2,Bituminous Coal,2325,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_13,Fuels,Solid,Coal,short ton,short ton,g CH4,Bituminous Coal,274,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_14,Fuels,Solid,Coal,short ton,short ton,g N2O,Bituminous Coal,40,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_15,Fuels,Solid,Coal,short ton,short ton,mmbtu,Sub-bituminous Coal,17.25,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_16,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Sub-bituminous Coal,97.17,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_17,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Sub-bituminous Coal,11,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_18,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Sub-bituminous Coal,1.6,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_19,Fuels,Solid,Coal,short ton,short ton,kg CO2,Sub-bituminous Coal,1676,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_20,Fuels,Solid,Coal,short ton,short ton,g CH4,Sub-bituminous Coal,190,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_21,Fuels,Solid,Coal,short ton,short ton,g N2O,Sub-bituminous Coal,28,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_22,Fuels,Solid,Coal,short ton,short ton,mmbtu,Lignite Coal,14.21,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_23,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Lignite Coal,97.72,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_24,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Lignite Coal,11,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_25,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Lignite Coal,1.6,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_26,Fuels,Solid,Coal,short ton,short ton,kg CO2,Lignite Coal,1389,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_27,Fuels,Solid,Coal,short ton,short ton,g CH4,Lignite Coal,156,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_28,Fuels,Solid,Coal,short ton,short ton,g N2O,Lignite Coal,23,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_29,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Commercial Sector),21.39,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_30,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Commercial Sector),94.27,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_31,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Commercial Sector),11,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_32,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Commercial Sector),1.6,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_33,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Commercial Sector),2016,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_34,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Commercial Sector),235,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_35,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Commercial Sector),34,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_36,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Electric Power Sector),19.73,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_37,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Electric Power Sector),95.52,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_38,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Electric Power Sector),11,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_39,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Electric Power Sector),1.6,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_40,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Electric Power Sector),1885,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_41,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Electric Power Sector),217,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_42,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Electric Power Sector),32,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_43,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Industrial Coking),26.28,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_44,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Industrial Coking),93.9,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_45,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Industrial Coking),11,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_46,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Industrial Coking),1.6,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_47,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Industrial Coking),2468,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_48,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Industrial Coking),289,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_49,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Industrial Coking),42,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_50,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Industrial Sector),22.35,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_51,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Industrial Sector),94.67,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_52,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Industrial Sector),11,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_53,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Industrial Sector),1.6,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_54,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Industrial Sector),2116,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_55,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Industrial Sector),246,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_56,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Industrial Sector),36,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_57,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Coal Coke,24.8,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_58,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Coal Coke,113.67,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_59,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Coal Coke,11,2021-01-01 00:00:00,2021-12-31 23:59:59
2021_60,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Coal Coke,1.6,2021-01-01 00:00:00,2021-12-31 23:59:59
