id,Scope,Level 1,Level 2,Level 3,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2021,valid_from,valid_to
1643,Scope1,Delivery vehicles,HGV (all diesel),Articulated (>33t),Average laden,miles,miles,kg CH4,Articulated (>33t) miles HGV (all diesel),0.0002,2021-01-01 00:00:00,2021-12-31 23:59:59
1644,Scope1,Delivery vehicles,HGV (all diesel),Articulated (>33t),Average laden,miles,miles,kg CO2,Articulated (>33t) miles HGV (all diesel),1.44872,2021-01-01 00:00:00,2021-12-31 23:59:59
1645,Scope1,Delivery vehicles,HGV (all diesel),Articulated (>33t),Average laden,miles,miles,kg N2O,Articulated (>33t) miles HGV (all diesel),0.02602,2021-01-01 00:00:00,2021-12-31 23:59:59
1646,Scope1,Delivery vehicles,HGV (all diesel),All artics,0% Laden,km,km,kg CO2e,All artics km HGV (all diesel),0.64913,2021-01-01 00:00:00,2021-12-31 23:59:59
1647,Scope1,Delivery vehicles,HGV (all diesel),All artics,0% Laden,km,km,kg CH4,All artics km HGV (all diesel),0.00013,2021-01-01 00:00:00,2021-12-31 23:59:59
1648,Scope1,Delivery vehicles,HGV (all diesel),All artics,0% Laden,km,km,kg CO2,All artics km HGV (all diesel),0.63295,2021-01-01 00:00:00,2021-12-31 23:59:59
1649,Scope1,Delivery vehicles,HGV (all diesel),All artics,0% Laden,km,km,kg N2O,All artics km HGV (all diesel),0.01606,2021-01-01 00:00:00,2021-12-31 23:59:59
1650,Scope1,Delivery vehicles,HGV (all diesel),All artics,0% Laden,miles,miles,kg CO2e,All artics miles HGV (all diesel),1.04468,2021-01-01 00:00:00,2021-12-31 23:59:59
1651,Scope1,Delivery vehicles,HGV (all diesel),All artics,0% Laden,miles,miles,kg CH4,All artics miles HGV (all diesel),0.0002,2021-01-01 00:00:00,2021-12-31 23:59:59
1652,Scope1,Delivery vehicles,HGV (all diesel),All artics,0% Laden,miles,miles,kg CO2,All artics miles HGV (all diesel),1.01863,2021-01-01 00:00:00,2021-12-31 23:59:59
1653,Scope1,Delivery vehicles,HGV (all diesel),All artics,0% Laden,miles,miles,kg N2O,All artics miles HGV (all diesel),0.02585,2021-01-01 00:00:00,2021-12-31 23:59:59
1654,Scope1,Delivery vehicles,HGV (all diesel),All artics,50% Laden,km,km,kg CO2e,All artics km HGV (all diesel),0.85803,2021-01-01 00:00:00,2021-12-31 23:59:59
1655,Scope1,Delivery vehicles,HGV (all diesel),All artics,50% Laden,km,km,kg CH4,All artics km HGV (all diesel),0.00013,2021-01-01 00:00:00,2021-12-31 23:59:59
1656,Scope1,Delivery vehicles,HGV (all diesel),All artics,50% Laden,km,km,kg CO2,All artics km HGV (all diesel),0.84185,2021-01-01 00:00:00,2021-12-31 23:59:59
1657,Scope1,Delivery vehicles,HGV (all diesel),All artics,50% Laden,km,km,kg N2O,All artics km HGV (all diesel),0.01606,2021-01-01 00:00:00,2021-12-31 23:59:59
1658,Scope1,Delivery vehicles,HGV (all diesel),All artics,50% Laden,miles,miles,kg CO2e,All artics miles HGV (all diesel),1.38087,2021-01-01 00:00:00,2021-12-31 23:59:59
1659,Scope1,Delivery vehicles,HGV (all diesel),All artics,50% Laden,miles,miles,kg CH4,All artics miles HGV (all diesel),0.0002,2021-01-01 00:00:00,2021-12-31 23:59:59
1660,Scope1,Delivery vehicles,HGV (all diesel),All artics,50% Laden,miles,miles,kg CO2,All artics miles HGV (all diesel),1.35482,2021-01-01 00:00:00,2021-12-31 23:59:59
1661,Scope1,Delivery vehicles,HGV (all diesel),All artics,50% Laden,miles,miles,kg N2O,All artics miles HGV (all diesel),0.02585,2021-01-01 00:00:00,2021-12-31 23:59:59
1662,Scope1,Delivery vehicles,HGV (all diesel),All artics,100% Laden,km,km,kg CO2e,All artics km HGV (all diesel),1.06694,2021-01-01 00:00:00,2021-12-31 23:59:59
1663,Scope1,Delivery vehicles,HGV (all diesel),All artics,100% Laden,km,km,kg CH4,All artics km HGV (all diesel),0.00013,2021-01-01 00:00:00,2021-12-31 23:59:59
1664,Scope1,Delivery vehicles,HGV (all diesel),All artics,100% Laden,km,km,kg CO2,All artics km HGV (all diesel),1.05075,2021-01-01 00:00:00,2021-12-31 23:59:59
1665,Scope1,Delivery vehicles,HGV (all diesel),All artics,100% Laden,km,km,kg N2O,All artics km HGV (all diesel),0.01606,2021-01-01 00:00:00,2021-12-31 23:59:59
1666,Scope1,Delivery vehicles,HGV (all diesel),All artics,100% Laden,miles,miles,kg CO2e,All artics miles HGV (all diesel),1.71707,2021-01-01 00:00:00,2021-12-31 23:59:59
1667,Scope1,Delivery vehicles,HGV (all diesel),All artics,100% Laden,miles,miles,kg CH4,All artics miles HGV (all diesel),0.0002,2021-01-01 00:00:00,2021-12-31 23:59:59
1668,Scope1,Delivery vehicles,HGV (all diesel),All artics,100% Laden,miles,miles,kg CO2,All artics miles HGV (all diesel),1.69102,2021-01-01 00:00:00,2021-12-31 23:59:59
1669,Scope1,Delivery vehicles,HGV (all diesel),All artics,100% Laden,miles,miles,kg N2O,All artics miles HGV (all diesel),0.02585,2021-01-01 00:00:00,2021-12-31 23:59:59
1670,Scope1,Delivery vehicles,HGV (all diesel),All artics,Average laden,km,km,kg CO2e,All artics km HGV (all diesel),0.91048,2021-01-01 00:00:00,2021-12-31 23:59:59
1671,Scope1,Delivery vehicles,HGV (all diesel),All artics,Average laden,km,km,kg CH4,All artics km HGV (all diesel),0.00013,2021-01-01 00:00:00,2021-12-31 23:59:59
1672,Scope1,Delivery vehicles,HGV (all diesel),All artics,Average laden,km,km,kg CO2,All artics km HGV (all diesel),0.89429,2021-01-01 00:00:00,2021-12-31 23:59:59
1673,Scope1,Delivery vehicles,HGV (all diesel),All artics,Average laden,km,km,kg N2O,All artics km HGV (all diesel),0.01606,2021-01-01 00:00:00,2021-12-31 23:59:59
1674,Scope1,Delivery vehicles,HGV (all diesel),All artics,Average laden,miles,miles,kg CO2e,All artics miles HGV (all diesel),1.46527,2021-01-01 00:00:00,2021-12-31 23:59:59
1675,Scope1,Delivery vehicles,HGV (all diesel),All artics,Average laden,miles,miles,kg CH4,All artics miles HGV (all diesel),0.0002,2021-01-01 00:00:00,2021-12-31 23:59:59
1676,Scope1,Delivery vehicles,HGV (all diesel),All artics,Average laden,miles,miles,kg CO2,All artics miles HGV (all diesel),1.43922,2021-01-01 00:00:00,2021-12-31 23:59:59
1677,Scope1,Delivery vehicles,HGV (all diesel),All artics,Average laden,miles,miles,kg N2O,All artics miles HGV (all diesel),0.02585,2021-01-01 00:00:00,2021-12-31 23:59:59
1678,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,0% Laden,km,km,kg CO2e,All HGVs km HGV (all diesel),0.65573,2021-01-01 00:00:00,2021-12-31 23:59:59
1679,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,0% Laden,km,km,kg CH4,All HGVs km HGV (all diesel),0.00014,2021-01-01 00:00:00,2021-12-31 23:59:59
1680,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,0% Laden,km,km,kg CO2,All HGVs km HGV (all diesel),0.64215,2021-01-01 00:00:00,2021-12-31 23:59:59
1681,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,0% Laden,km,km,kg N2O,All HGVs km HGV (all diesel),0.01344,2021-01-01 00:00:00,2021-12-31 23:59:59
1682,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,0% Laden,miles,miles,kg CO2e,All HGVs miles HGV (all diesel),1.0553,2021-01-01 00:00:00,2021-12-31 23:59:59
1683,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,0% Laden,miles,miles,kg CH4,All HGVs miles HGV (all diesel),0.00023,2021-01-01 00:00:00,2021-12-31 23:59:59
1684,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,0% Laden,miles,miles,kg CO2,All HGVs miles HGV (all diesel),1.03344,2021-01-01 00:00:00,2021-12-31 23:59:59
1685,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,0% Laden,miles,miles,kg N2O,All HGVs miles HGV (all diesel),0.02162,2021-01-01 00:00:00,2021-12-31 23:59:59
1686,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,50% Laden,km,km,kg CO2e,All HGVs km HGV (all diesel),0.82851,2021-01-01 00:00:00,2021-12-31 23:59:59
1687,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,50% Laden,km,km,kg CH4,All HGVs km HGV (all diesel),0.00014,2021-01-01 00:00:00,2021-12-31 23:59:59
1688,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,50% Laden,km,km,kg CO2,All HGVs km HGV (all diesel),0.81492,2021-01-01 00:00:00,2021-12-31 23:59:59
1689,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,50% Laden,km,km,kg N2O,All HGVs km HGV (all diesel),0.01344,2021-01-01 00:00:00,2021-12-31 23:59:59
1690,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,50% Laden,miles,miles,kg CO2e,All HGVs miles HGV (all diesel),1.33335,2021-01-01 00:00:00,2021-12-31 23:59:59
1691,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,50% Laden,miles,miles,kg CH4,All HGVs miles HGV (all diesel),0.00023,2021-01-01 00:00:00,2021-12-31 23:59:59
1692,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,50% Laden,miles,miles,kg CO2,All HGVs miles HGV (all diesel),1.31149,2021-01-01 00:00:00,2021-12-31 23:59:59
1693,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,50% Laden,miles,miles,kg N2O,All HGVs miles HGV (all diesel),0.02162,2021-01-01 00:00:00,2021-12-31 23:59:59
1694,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,100% Laden,km,km,kg CO2e,All HGVs km HGV (all diesel),1.00128,2021-01-01 00:00:00,2021-12-31 23:59:59
1695,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,100% Laden,km,km,kg CH4,All HGVs km HGV (all diesel),0.00014,2021-01-01 00:00:00,2021-12-31 23:59:59
1696,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,100% Laden,km,km,kg CO2,All HGVs km HGV (all diesel),0.9877,2021-01-01 00:00:00,2021-12-31 23:59:59
1697,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,100% Laden,km,km,kg N2O,All HGVs km HGV (all diesel),0.01344,2021-01-01 00:00:00,2021-12-31 23:59:59
1698,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,100% Laden,miles,miles,kg CO2e,All HGVs miles HGV (all diesel),1.6114,2021-01-01 00:00:00,2021-12-31 23:59:59
1699,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,100% Laden,miles,miles,kg CH4,All HGVs miles HGV (all diesel),0.00023,2021-01-01 00:00:00,2021-12-31 23:59:59
1700,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,100% Laden,miles,miles,kg CO2,All HGVs miles HGV (all diesel),1.58955,2021-01-01 00:00:00,2021-12-31 23:59:59
1701,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,100% Laden,miles,miles,kg N2O,All HGVs miles HGV (all diesel),0.02162,2021-01-01 00:00:00,2021-12-31 23:59:59
1702,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,Average laden,km,km,kg CO2e,All HGVs km HGV (all diesel),0.86407,2021-01-01 00:00:00,2021-12-31 23:59:59
1703,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,Average laden,km,km,kg CH4,All HGVs km HGV (all diesel),0.00014,2021-01-01 00:00:00,2021-12-31 23:59:59
1704,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,Average laden,km,km,kg CO2,All HGVs km HGV (all diesel),0.85049,2021-01-01 00:00:00,2021-12-31 23:59:59
1705,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,Average laden,km,km,kg N2O,All HGVs km HGV (all diesel),0.01344,2021-01-01 00:00:00,2021-12-31 23:59:59
1706,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,Average laden,miles,miles,kg CO2e,All HGVs miles HGV (all diesel),1.39058,2021-01-01 00:00:00,2021-12-31 23:59:59
1707,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,Average laden,miles,miles,kg CH4,All HGVs miles HGV (all diesel),0.00023,2021-01-01 00:00:00,2021-12-31 23:59:59
1708,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,Average laden,miles,miles,kg CO2,All HGVs miles HGV (all diesel),1.36873,2021-01-01 00:00:00,2021-12-31 23:59:59
1709,Scope1,Delivery vehicles,HGV (all diesel),All HGVs,Average laden,miles,miles,kg N2O,All HGVs miles HGV (all diesel),0.02162,2021-01-01 00:00:00,2021-12-31 23:59:59
1710,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,km,km,kg CO2e,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.5302,2021-01-01 00:00:00,2021-12-31 23:59:59
1711,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,km,km,kg CH4,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.0001,2021-01-01 00:00:00,2021-12-31 23:59:59
1712,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,km,km,kg CO2,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.52412,2021-01-01 00:00:00,2021-12-31 23:59:59
1713,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,km,km,kg N2O,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.00598,2021-01-01 00:00:00,2021-12-31 23:59:59
1714,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,miles,miles,kg CO2e,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.85328,2021-01-01 00:00:00,2021-12-31 23:59:59
1715,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,miles,miles,kg CH4,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.00016,2021-01-01 00:00:00,2021-12-31 23:59:59
1716,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,miles,miles,kg CO2,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.84349,2021-01-01 00:00:00,2021-12-31 23:59:59
1717,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,miles,miles,kg N2O,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.00962,2021-01-01 00:00:00,2021-12-31 23:59:59
1718,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,km,km,kg CO2e,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.57578,2021-01-01 00:00:00,2021-12-31 23:59:59
1719,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,km,km,kg CH4,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.0001,2021-01-01 00:00:00,2021-12-31 23:59:59
1720,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,km,km,kg CO2,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.5697,2021-01-01 00:00:00,2021-12-31 23:59:59
1721,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,km,km,kg N2O,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.00598,2021-01-01 00:00:00,2021-12-31 23:59:59
1722,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,miles,miles,kg CO2e,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.92662,2021-01-01 00:00:00,2021-12-31 23:59:59
1723,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,miles,miles,kg CH4,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.00016,2021-01-01 00:00:00,2021-12-31 23:59:59
1724,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,miles,miles,kg CO2,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.91684,2021-01-01 00:00:00,2021-12-31 23:59:59
1725,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),50% Laden,miles,miles,kg N2O,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.00962,2021-01-01 00:00:00,2021-12-31 23:59:59
1726,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,km,km,kg CO2e,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.62135,2021-01-01 00:00:00,2021-12-31 23:59:59
1727,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,km,km,kg CH4,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.0001,2021-01-01 00:00:00,2021-12-31 23:59:59
1728,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,km,km,kg CO2,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.61527,2021-01-01 00:00:00,2021-12-31 23:59:59
1729,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,km,km,kg N2O,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.00598,2021-01-01 00:00:00,2021-12-31 23:59:59
1730,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,miles,miles,kg CO2e,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.99997,2021-01-01 00:00:00,2021-12-31 23:59:59
1731,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,miles,miles,kg CH4,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.00016,2021-01-01 00:00:00,2021-12-31 23:59:59
1732,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,miles,miles,kg CO2,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.99019,2021-01-01 00:00:00,2021-12-31 23:59:59
1733,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),100% Laden,miles,miles,kg N2O,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.00962,2021-01-01 00:00:00,2021-12-31 23:59:59
1734,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,km,km,kg CO2e,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.57213,2021-01-01 00:00:00,2021-12-31 23:59:59
1735,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,km,km,kg CH4,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.0001,2021-01-01 00:00:00,2021-12-31 23:59:59
1736,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,km,km,kg CO2,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.56605,2021-01-01 00:00:00,2021-12-31 23:59:59
1737,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,km,km,kg N2O,Rigid (>3.5 - 7.5 tonnes) km HGVs refrigerated (all diesel),0.00598,2021-01-01 00:00:00,2021-12-31 23:59:59
1738,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,miles,miles,kg CO2e,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.92076,2021-01-01 00:00:00,2021-12-31 23:59:59
1739,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,miles,miles,kg CH4,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.00016,2021-01-01 00:00:00,2021-12-31 23:59:59
1740,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,miles,miles,kg CO2,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.91097,2021-01-01 00:00:00,2021-12-31 23:59:59
1741,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,miles,miles,kg N2O,Rigid (>3.5 - 7.5 tonnes) miles HGVs refrigerated (all diesel),0.00962,2021-01-01 00:00:00,2021-12-31 23:59:59
1742,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,km,km,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) km HGVs refrigerated (all diesel),0.63752,2021-01-01 00:00:00,2021-12-31 23:59:59
1743,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,km,km,kg CH4,Rigid (>7.5 tonnes-17 tonnes) km HGVs refrigerated (all diesel),0.00012,2021-01-01 00:00:00,2021-12-31 23:59:59
1744,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,km,km,kg CO2,Rigid (>7.5 tonnes-17 tonnes) km HGVs refrigerated (all diesel),0.63011,2021-01-01 00:00:00,2021-12-31 23:59:59
1745,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,km,km,kg N2O,Rigid (>7.5 tonnes-17 tonnes) km HGVs refrigerated (all diesel),0.00729,2021-01-01 00:00:00,2021-12-31 23:59:59
1746,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,miles,miles,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) miles HGVs refrigerated (all diesel),1.02599,2021-01-01 00:00:00,2021-12-31 23:59:59
1747,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,miles,miles,kg CH4,Rigid (>7.5 tonnes-17 tonnes) miles HGVs refrigerated (all diesel),0.0002,2021-01-01 00:00:00,2021-12-31 23:59:59
1748,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,miles,miles,kg CO2,Rigid (>7.5 tonnes-17 tonnes) miles HGVs refrigerated (all diesel),1.01406,2021-01-01 00:00:00,2021-12-31 23:59:59
1749,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),0% Laden,miles,miles,kg N2O,Rigid (>7.5 tonnes-17 tonnes) miles HGVs refrigerated (all diesel),0.01173,2021-01-01 00:00:00,2021-12-31 23:59:59
1750,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,km,km,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) km HGVs refrigerated (all diesel),0.72753,2021-01-01 00:00:00,2021-12-31 23:59:59
1751,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,km,km,kg CH4,Rigid (>7.5 tonnes-17 tonnes) km HGVs refrigerated (all diesel),0.00012,2021-01-01 00:00:00,2021-12-31 23:59:59
1752,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,km,km,kg CO2,Rigid (>7.5 tonnes-17 tonnes) km HGVs refrigerated (all diesel),0.72012,2021-01-01 00:00:00,2021-12-31 23:59:59
1753,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,km,km,kg N2O,Rigid (>7.5 tonnes-17 tonnes) km HGVs refrigerated (all diesel),0.00729,2021-01-01 00:00:00,2021-12-31 23:59:59
1754,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,miles,miles,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) miles HGVs refrigerated (all diesel),1.17085,2021-01-01 00:00:00,2021-12-31 23:59:59
1755,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,miles,miles,kg CH4,Rigid (>7.5 tonnes-17 tonnes) miles HGVs refrigerated (all diesel),0.0002,2021-01-01 00:00:00,2021-12-31 23:59:59
1756,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,miles,miles,kg CO2,Rigid (>7.5 tonnes-17 tonnes) miles HGVs refrigerated (all diesel),1.15892,2021-01-01 00:00:00,2021-12-31 23:59:59
1757,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),50% Laden,miles,miles,kg N2O,Rigid (>7.5 tonnes-17 tonnes) miles HGVs refrigerated (all diesel),0.01173,2021-01-01 00:00:00,2021-12-31 23:59:59
1758,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),100% Laden,km,km,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) km HGVs refrigerated (all diesel),0.81755,2021-01-01 00:00:00,2021-12-31 23:59:59
1759,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),100% Laden,km,km,kg CH4,Rigid (>7.5 tonnes-17 tonnes) km HGVs refrigerated (all diesel),0.00012,2021-01-01 00:00:00,2021-12-31 23:59:59
1760,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),100% Laden,km,km,kg CO2,Rigid (>7.5 tonnes-17 tonnes) km HGVs refrigerated (all diesel),0.81014,2021-01-01 00:00:00,2021-12-31 23:59:59
1761,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),100% Laden,km,km,kg N2O,Rigid (>7.5 tonnes-17 tonnes) km HGVs refrigerated (all diesel),0.00729,2021-01-01 00:00:00,2021-12-31 23:59:59
1762,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),100% Laden,miles,miles,kg CO2e,Rigid (>7.5 tonnes-17 tonnes) miles HGVs refrigerated (all diesel),1.31572,2021-01-01 00:00:00,2021-12-31 23:59:59
1763,Scope1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),100% Laden,miles,miles,kg CH4,Rigid (>7.5 tonnes-17 tonnes) miles HGVs refrigerated (all diesel),0.0002,2021-01-01 00:00:00,2021-12-31 23:59:59
