id,Scope,Level 1,Level 2,Level 3,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2021,valid_from,valid_to
30,Scope1,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg CO2,CNG tonnes,2533.69,2021-01-01 00:00:00,2021-12-31 23:59:59
31,Scope1,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg N2O,CNG tonnes,1.34,2021-01-01 00:00:00,2021-12-31 23:59:59
32,Scope1,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LNG kWh (Gross CV),0.18438,2021-01-01 00:00:00,2021-12-31 23:59:59
33,Scope1,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,LNG kWh (Gross CV),0.00025,2021-01-01 00:00:00,2021-12-31 23:59:59
34,Scope1,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,LNG kWh (Gross CV),0.18403,2021-01-01 00:00:00,2021-12-31 23:59:59
35,Scope1,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,LNG kWh (Gross CV),0.0001,2021-01-01 00:00:00,2021-12-31 23:59:59
36,Scope1,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LNG kWh (Net CV),0.20431,2021-01-01 00:00:00,2021-12-31 23:59:59
37,Scope1,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh,kWh (Net CV),kg CH4,LNG kWh (Net CV),0.00028,2021-01-01 00:00:00,2021-12-31 23:59:59
38,Scope1,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2,LNG kWh (Net CV),0.20393,2021-01-01 00:00:00,2021-12-31 23:59:59
39,Scope1,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh,kWh (Net CV),kg N2O,LNG kWh (Net CV),0.00011,2021-01-01 00:00:00,2021-12-31 23:59:59
40,Scope1,Fuels,Gaseous fuels,LNG,Volume,litres,litres,kg CO2e,LNG litres,1.15623,2021-01-01 00:00:00,2021-12-31 23:59:59
41,Scope1,Fuels,Gaseous fuels,LNG,Volume,litres,litres,kg CH4,LNG litres,0.00156,2021-01-01 00:00:00,2021-12-31 23:59:59
42,Scope1,Fuels,Gaseous fuels,LNG,Volume,litres,litres,kg CO2,LNG litres,1.15407,2021-01-01 00:00:00,2021-12-31 23:59:59
43,Scope1,Fuels,Gaseous fuels,LNG,Volume,litres,litres,kg N2O,LNG litres,0.00061,2021-01-01 00:00:00,2021-12-31 23:59:59
44,Scope1,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,tonnes,kg CO2e,LNG tonnes,2555.28,2021-01-01 00:00:00,2021-12-31 23:59:59
45,Scope1,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,tonnes,kg CH4,LNG tonnes,3.44,2021-01-01 00:00:00,2021-12-31 23:59:59
46,Scope1,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,tonnes,kg CO2,LNG tonnes,2550.49,2021-01-01 00:00:00,2021-12-31 23:59:59
47,Scope1,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,tonnes,kg N2O,LNG tonnes,1.34,2021-01-01 00:00:00,2021-12-31 23:59:59
48,Scope1,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LPG kWh (Gross CV),0.21449,2021-01-01 00:00:00,2021-12-31 23:59:59
49,Scope1,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,LPG kWh (Gross CV),0.00017,2021-01-01 00:00:00,2021-12-31 23:59:59
50,Scope1,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,LPG kWh (Gross CV),0.21419,2021-01-01 00:00:00,2021-12-31 23:59:59
51,Scope1,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,LPG kWh (Gross CV),0.00013,2021-01-01 00:00:00,2021-12-31 23:59:59
52,Scope1,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LPG kWh (Net CV),0.23031,2021-01-01 00:00:00,2021-12-31 23:59:59
53,Scope1,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh,kWh (Net CV),kg CH4,LPG kWh (Net CV),0.00018,2021-01-01 00:00:00,2021-12-31 23:59:59
54,Scope1,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh,kWh (Net CV),kg CO2,LPG kWh (Net CV),0.22999,2021-01-01 00:00:00,2021-12-31 23:59:59
55,Scope1,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh,kWh (Net CV),kg N2O,LPG kWh (Net CV),0.00014,2021-01-01 00:00:00,2021-12-31 23:59:59
56,Scope1,Fuels,Gaseous fuels,LPG,Volume,litres,litres,kg CO2e,LPG litres,1.55709,2021-01-01 00:00:00,2021-12-31 23:59:59
57,Scope1,Fuels,Gaseous fuels,LPG,Volume,litres,litres,kg CH4,LPG litres,0.00121,2021-01-01 00:00:00,2021-12-31 23:59:59
58,Scope1,Fuels,Gaseous fuels,LPG,Volume,litres,litres,kg CO2,LPG litres,1.55491,2021-01-01 00:00:00,2021-12-31 23:59:59
59,Scope1,Fuels,Gaseous fuels,LPG,Volume,litres,litres,kg N2O,LPG litres,0.00097,2021-01-01 00:00:00,2021-12-31 23:59:59
60,Scope1,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,tonnes,kg CO2e,LPG tonnes,2939.29,2021-01-01 00:00:00,2021-12-31 23:59:59
61,Scope1,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,tonnes,kg CH4,LPG tonnes,2.28,2021-01-01 00:00:00,2021-12-31 23:59:59
62,Scope1,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,tonnes,kg CO2,LPG tonnes,2935.18,2021-01-01 00:00:00,2021-12-31 23:59:59
63,Scope1,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,tonnes,kg N2O,LPG tonnes,1.83,2021-01-01 00:00:00,2021-12-31 23:59:59
64,Scope1,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Natural gas kWh (Gross CV),0.18316,2021-01-01 00:00:00,2021-12-31 23:59:59
65,Scope1,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Natural gas kWh (Gross CV),0.00025,2021-01-01 00:00:00,2021-12-31 23:59:59
66,Scope1,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Natural gas kWh (Gross CV),0.18282,2021-01-01 00:00:00,2021-12-31 23:59:59
67,Scope1,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Natural gas kWh (Gross CV),0.0001,2021-01-01 00:00:00,2021-12-31 23:59:59
68,Scope1,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Natural gas kWh (Net CV),0.20297,2021-01-01 00:00:00,2021-12-31 23:59:59
69,Scope1,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Natural gas kWh (Net CV),0.00028,2021-01-01 00:00:00,2021-12-31 23:59:59
70,Scope1,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Natural gas kWh (Net CV),0.20258,2021-01-01 00:00:00,2021-12-31 23:59:59
