id,Level 1,Level 2,Level 3,Column Text,UOM,GHG,GHG Conversion Factor 2016,valid_from,valid_to
1,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.184,2016-01-01 00:00:00,2016-12-31 23:59:59
2,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00025,2016-01-01 00:00:00,2016-12-31 23:59:59
3,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18365,2016-01-01 00:00:00,2016-12-31 23:59:59
4,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001,2016-01-01 00:00:00,2016-12-31 23:59:59
5,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh (Net CV),kg CO2e,0.20444,2016-01-01 00:00:00,2016-12-31 23:59:59
6,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh (Net CV),kg CH4,0.00028,2016-01-01 00:00:00,2016-12-31 23:59:59
7,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh (Net CV),kg CO2,0.20405,2016-01-01 00:00:00,2016-12-31 23:59:59
8,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh (Net CV),kg N2O,0.00011,2016-01-01 00:00:00,2016-12-31 23:59:59
9,Fuels,Gaseous fuels,CNG,Volume,litres,kg CO2e,0.47527,2016-01-01 00:00:00,2016-12-31 23:59:59
10,Fuels,Gaseous fuels,CNG,Volume,litres,kg CH4,0.00066,2016-01-01 00:00:00,2016-12-31 23:59:59
11,Fuels,Gaseous fuels,CNG,Volume,litres,kg CO2,0.47436,2016-01-01 00:00:00,2016-12-31 23:59:59
12,Fuels,Gaseous fuels,CNG,Volume,litres,kg N2O,0.00025,2016-01-01 00:00:00,2016-12-31 23:59:59
13,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,kg CO2e,2715.82599,2016-01-01 00:00:00,2016-12-31 23:59:59
14,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,kg CH4,3.76372,2016-01-01 00:00:00,2016-12-31 23:59:59
15,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,kg CO2,2710.63714,2016-01-01 00:00:00,2016-12-31 23:59:59
16,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,kg N2O,1.42512,2016-01-01 00:00:00,2016-12-31 23:59:59
17,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.184,2016-01-01 00:00:00,2016-12-31 23:59:59
18,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00025,2016-01-01 00:00:00,2016-12-31 23:59:59
19,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18365,2016-01-01 00:00:00,2016-12-31 23:59:59
20,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001,2016-01-01 00:00:00,2016-12-31 23:59:59
21,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh (Net CV),kg CO2e,0.20444,2016-01-01 00:00:00,2016-12-31 23:59:59
22,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh (Net CV),kg CH4,0.00028,2016-01-01 00:00:00,2016-12-31 23:59:59
23,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh (Net CV),kg CO2,0.20405,2016-01-01 00:00:00,2016-12-31 23:59:59
24,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh (Net CV),kg N2O,0.00011,2016-01-01 00:00:00,2016-12-31 23:59:59
25,Fuels,Gaseous fuels,LNG,Volume,litres,kg CO2e,1.22888,2016-01-01 00:00:00,2016-12-31 23:59:59
26,Fuels,Gaseous fuels,LNG,Volume,litres,kg CH4,0.0017,2016-01-01 00:00:00,2016-12-31 23:59:59
27,Fuels,Gaseous fuels,LNG,Volume,litres,kg CO2,1.22653,2016-01-01 00:00:00,2016-12-31 23:59:59
28,Fuels,Gaseous fuels,LNG,Volume,litres,kg N2O,0.00064,2016-01-01 00:00:00,2016-12-31 23:59:59
29,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,kg CO2e,2715.82599,2016-01-01 00:00:00,2016-12-31 23:59:59
30,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,kg CH4,3.76372,2016-01-01 00:00:00,2016-12-31 23:59:59
31,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,kg CO2,2710.63714,2016-01-01 00:00:00,2016-12-31 23:59:59
32,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,kg N2O,1.42512,2016-01-01 00:00:00,2016-12-31 23:59:59
33,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.21458,2016-01-01 00:00:00,2016-12-31 23:59:59
34,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00019,2016-01-01 00:00:00,2016-12-31 23:59:59
35,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh (Gross CV),kg CO2,0.21419,2016-01-01 00:00:00,2016-12-31 23:59:59
36,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0002,2016-01-01 00:00:00,2016-12-31 23:59:59
37,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh (Net CV),kg CO2e,0.23041,2016-01-01 00:00:00,2016-12-31 23:59:59
38,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh (Net CV),kg CH4,0.0002,2016-01-01 00:00:00,2016-12-31 23:59:59
39,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh (Net CV),kg CO2,0.22999,2016-01-01 00:00:00,2016-12-31 23:59:59
40,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh (Net CV),kg N2O,0.00022,2016-01-01 00:00:00,2016-12-31 23:59:59
41,Fuels,Gaseous fuels,LPG,Volume,litres,kg CO2e,1.50502,2016-01-01 00:00:00,2016-12-31 23:59:59
42,Fuels,Gaseous fuels,LPG,Volume,litres,kg CH4,0.0013,2016-01-01 00:00:00,2016-12-31 23:59:59
43,Fuels,Gaseous fuels,LPG,Volume,litres,kg CO2,1.5023,2016-01-01 00:00:00,2016-12-31 23:59:59
44,Fuels,Gaseous fuels,LPG,Volume,litres,kg N2O,0.00142,2016-01-01 00:00:00,2016-12-31 23:59:59
45,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,kg CO2e,2941.78024,2016-01-01 00:00:00,2016-12-31 23:59:59
46,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,kg CH4,2.53656,2016-01-01 00:00:00,2016-12-31 23:59:59
47,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,kg CO2,2936.47614,2016-01-01 00:00:00,2016-12-31 23:59:59
48,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,kg N2O,2.76754,2016-01-01 00:00:00,2016-12-31 23:59:59
49,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.184,2016-01-01 00:00:00,2016-12-31 23:59:59
50,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00025,2016-01-01 00:00:00,2016-12-31 23:59:59
51,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18365,2016-01-01 00:00:00,2016-12-31 23:59:59
52,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001,2016-01-01 00:00:00,2016-12-31 23:59:59
53,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh (Net CV),kg CO2e,0.20444,2016-01-01 00:00:00,2016-12-31 23:59:59
54,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh (Net CV),kg CH4,0.00028,2016-01-01 00:00:00,2016-12-31 23:59:59
55,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh (Net CV),kg CO2,0.20405,2016-01-01 00:00:00,2016-12-31 23:59:59
56,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh (Net CV),kg N2O,0.00011,2016-01-01 00:00:00,2016-12-31 23:59:59
57,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,kg CO2e,2.02838,2016-01-01 00:00:00,2016-12-31 23:59:59
58,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,kg CH4,0.00281,2016-01-01 00:00:00,2016-12-31 23:59:59
59,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,kg CO2,2.02451,2016-01-01 00:00:00,2016-12-31 23:59:59
